,POSITIVE,NEGATIVE,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,,,,,,,,,,,,,,,,,,,
inconvenient,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
incrimination,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
incubus,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
incurable,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
incursion,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
indecency,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
indecent,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
indefensible,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
indemnity,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
independence,1,0,0,1,0,0,1,0,1,1,,,,,,,,,,,,,anticipation|joy|surprise|trust,,anticipation,joy,surprise,trust,
indestructible,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
indict,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
indictment,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
indifference,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
indigent,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
indignant,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
indignation,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
inefficiency,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
inefficient,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
inept,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
ineptitude,0,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,disgust|fear|sadness,,disgust,fear,sadness,,
inequality,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
inexcusable,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
infallibility,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
infamous,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
infamy,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
infanticide,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
inferior,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
inferno,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
infertility,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
infestation,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
infidelity,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
infirmity,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
inflict,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
infliction,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
influential,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
infraction,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
inheritance,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
inhibit,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,anger|disgust|sadness,,anger,disgust,sadness,,
inhuman,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
inhumanity,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
inimical,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
iniquity,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
injure,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
injured,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
injurious,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
injury,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
injustice,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
inmate,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
innocent,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
insane,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
insanity,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
insecure,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
insecurity,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
insidious,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
insolvency,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
insolvent,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
inspiration,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
inspired,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
instability,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
insult,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,anger|disgust|sadness,,anger,disgust,sadness,,
insulting,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,anger|disgust|sadness,,anger,disgust,sadness,,
insure,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
insurrection,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
intact,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
integrity,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
intelligence,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
intelligent,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
intended,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
inter,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
intercession,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
interested,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
interment,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
interminable,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
intermission,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
interrogation,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
intimate,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
intimidate,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
intimidation,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
intolerable,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
intolerance,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
intolerant,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
intoxicate,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
intoxicated,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
intractable,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
intrigue,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,anticipation|surprise,,anticipation,surprise,,,
intruder,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
intrusion,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
intrusive,0,1,1,0,1,1,0,0,1,0,,,,,,,,,,,,,anger|disgust|fear|surprise,,anger,disgust,fear,surprise,
intuition,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
invade,0,1,1,0,0,1,0,1,1,0,,,,,,,,,,,,,anger|fear|sadness|surprise,,anger,fear,sadness,surprise,
invader,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
invalid,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
invasion,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
investigation,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
invitation,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
invite,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
inviting,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
invocation,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
invoke,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
irate,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
ire,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
iron,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
irrational,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
irreconcilable,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
irrefutable,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
irreparable,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
irritability,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
irritable,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
irritate,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
irritating,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
irritation,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,anger|disgust|sadness,,anger,disgust,sadness,,
isolate,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
isolated,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
isolation,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
jail,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
jar,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
jarring,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
jaundice,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
jealous,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
jealousy,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
jeopardize,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
jeopardy,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,anticipation|fear,,anticipation,fear,,,
jerk,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,anger|surprise,,anger,surprise,,,
jest,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
joker,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
jolt,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
jovial,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
joy,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
joyful,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
joyous,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
jubilant,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
jubilee,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
judicious,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
jury,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
justifiable,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
kick,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
kidnap,0,1,1,0,0,1,0,1,1,0,,,,,,,,,,,,,anger|fear|sadness|surprise,,anger,fear,sadness,surprise,
kill,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
killing,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,anger|fear|sadness|joy,,anger,fear,sadness,joy,
kind,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
kiss,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
kite,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
knell,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
kudos,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
labor,1,0,0,1,0,0,1,0,1,1,,,,,,,,,,,,,anticipation|joy|surprise|trust,,anticipation,joy,surprise,trust,
labored,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
lament,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
lamenting,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
languish,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
larceny,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
lash,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
laugh,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
laughable,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
laughing,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
laughter,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
laureate,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
laurels,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
lawful,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
lawlessness,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
lead,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
leader,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
leading,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
leave,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,sadness|surprise,,sadness,surprise,,,
leech,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
leer,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
leery,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
legislator,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
legislature,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
legitimacy,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
leisure,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
lethal,0,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,disgust|fear|sadness,,disgust,fear,sadness,,
lethargy,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
letter,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
lettered,1,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,anticipation|trust,,anticipation,trust,,,
lewd,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
liar,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
libel,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
liberate,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
liberation,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
liberty,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
lick,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
lie,0,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,anger|disgust|sadness,,anger,disgust,sadness,,
lifeless,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
liking,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
linger,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
listless,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
litigate,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
litigious,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
livid,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
loath,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
loathe,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
loathing,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
loathsome,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
lockup,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
lone,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
loneliness,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
lonely,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
lonesome,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
long,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
longing,0,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,anticipation|sadness,,anticipation,sadness,,,
loom,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,anticipation|fear,,anticipation,fear,,,
loon,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
lose,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
loss,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
lost,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
lovable,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
love,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
lovely,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
lovemaking,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
lover,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
loving,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
lowly,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
loyal,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
loyalty,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
lucky,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
lull,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
lunacy,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
lunatic,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
lunge,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
lurid,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
luscious,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
lush,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
lust,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
luster,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
lusty,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
lying,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
lynch,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
mad,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
madden,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
madman,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
madness,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
mafia,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
magical,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
magician,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
magnificence,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
magnificent,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
mainstay,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
majestic,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
majesty,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
malaise,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
malevolent,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
malfeasance,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
malice,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
malicious,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
malign,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
malignancy,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
malignant,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
manage,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
management,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
mangle,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
maniac,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
manipulation,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
manslaughter,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
marriage,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
marry,1,0,0,1,0,0,1,0,1,1,,,,,,,,,,,,,anticipation|joy|surprise|trust,,anticipation,joy,surprise,trust,
martyr,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
martyrdom,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
marvel,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
marvelous,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
marvelously,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
masochism,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
massacre,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
mastery,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
